;;;;;;;;;;;;;t4;t2;;;t6;;;;;;;;;;;;;k2;k1;;;k4;k3;i2;;i1;;;;;;;;;;;;;;;;;;;;;;;;;;;;l4;;;;l3;;;;l2;;;;;;lb1;lb2;lb3;lb4;lb5;lb6;lb7;;;;;;;;;;;;;;v1;;;;;;;t11;t12;y2;t8;t7;t9;t10;
2021-09-30 09:47;2;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;5;4;5;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4;3;4;4;4;4;4;1;4;4;4;1;4;4;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;4;4;5;4;4;4;4;4
2021-10-06 23:12;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;5;4;4;3;4;3;3;4;4;4;4;4;6;4;4;4;6;5;5;4;2;3;1;4;4;3;3;;;;;;;2;3;3;4;3;3;3;3;4;4;4;3;4;3;4;4;4;4;5;;;;;;5;5;4;4;4;4;4;1;1;1;1;1;2;;;;;;;2;2;;;;;;;4;4;4;4;4;4;4;3
2021-09-21 14:12;2;4;3;3;2;4;4;3;4;3;4;3;2;2;3;3;2;2;3;3;5;5;5;5;5;4;3;2;2;3;2;3;3;3;2;2;3;4;4;4;4;4;4;3;1;4;4;4;1;3;3;3;3;4;4;1;4;5;4;4;4;4;5;4;3;3;4;4;4;4;5;2;5;4;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;1;2;;;;;;;3;3;4;3;3;3;3;4
2021-09-22 10:06;1;5;5;5;5;5;5;5;4;4;4;5;5;4;4;5;4;3;5;5;4;4;5;4;4;3;4;4;4;4;3;5;5;5;4;3;3;4;3;5;5;4;5;4;1;4;5;5;1;4;4;4;3;3;4;1;6;3;3;4;4;3;3;4;4;4;4;4;5;4;4;6;5;4;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;4;4;4;5;5;4;4;1
2021-09-30 12:26;1;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;1;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;6;6;6;1;1;1;1;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;4
2021-10-11 17:04;1;6;4;5;4;4;5;4;5;5;5;5;5;5;5;5;4;3;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;4;2;4;5;4;1;3;3;2;4;4;5;1;3;3;2;2;2;4;4;5;5;5;5;5;4;5;4;5;5;5;;;;;;4;4;5;4;4;4;4;1;1;3;1;2;2;;;;;;;2;2;;;;;;;5;5;5;4;5;5;5;3
2021-09-30 10:22;1;4;4;4;2;3;3;3;5;2;5;3;1;2;2;3;1;1;2;2;5;5;5;5;5;4;3;2;2;5;1;5;3;3;2;3;4;4;3;3;3;3;4;4;1;5;2;2;1;2;2;2;5;6;3;1;3;4;4;1;3;5;5;5;2;3;3;3;4;4;3;2;3;3;;;;;;5;5;5;6;5;5;6;1;1;1;3;2;2;;;;;;;2;2;;;;;;;3;3;3;3;3;3;3;4
2021-09-30 15:05;1;5;5;5;5;5;5;5;5;5;5;5;3;4;5;4;4;4;5;5;5;4;4;4;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;4;4;1;5;5;5;5;5;5;1;4;4;4;3;4;4;4;5;5;5;5;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;4
2021-09-15 11:54;1;5;5;5;5;5;5;5;4;4;5;5;4;5;5;5;4;4;4;4;5;5;5;4;4;3;4;5;5;5;4;4;5;5;5;4;4;5;4;5;5;5;4;4;1;5;5;5;3;;;;;;;4;;;;;;4;4;4;5;5;5;5;4;4;4;4;4;5;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;1
2021-09-15 20:31;1;4;5;5;3;4;5;2;5;4;2;5;1;2;4;4;1;1;3;3;2;2;3;2;2;3;3;1;2;4;5;3;4;3;4;4;4;4;4;4;4;3;3;4;1;5;5;5;1;4;3;2;4;4;4;1;5;5;4;6;5;5;5;4;5;4;4;3;2;2;5;4;2;3;4;5;4;2;3;4;5;6;6;6;6;6;1;2;1;3;2;2;;;;;;;2;2;;;;;;;4;3;6;5;2;3;3;1
2021-09-17 09:12;2;4;5;4;5;5;5;4;5;4;4;5;4;3;3;4;3;4;4;3;4;4;4;4;4;5;5;4;5;4;4;4;4;5;3;4;4;4;4;4;5;4;4;4;1;5;4;3;1;4;4;4;5;5;4;1;4;4;5;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;2;2;;;;;;;4;4;5;4;4;4;4;3
2021-10-01 14:20;1;3;5;5;4;5;5;5;4;4;4;4;4;4;4;4;3;2;3;4;3;3;4;4;3;3;3;3;3;4;3;4;4;4;4;3;3;5;4;5;5;4;5;4;1;5;4;4;3;;;;;;;4;;;;;;4;4;4;5;5;5;4;5;5;5;5;5;5;;;;;;5;4;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;4;3;4;5;4;3;5;1
2021-10-04 14:04;1;4;3;2;2;5;5;3;5;4;5;2;2;2;2;4;1;1;2;2;4;4;5;5;4;3;3;2;2;3;1;3;2;1;1;3;3;4;3;4;5;5;2;2;1;5;3;5;1;3;4;1;4;4;3;1;4;5;3;1;2;5;5;5;5;4;5;3;3;5;5;4;3;4;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;1;2;;;;;;;2;1;2;2;2;1;2;3
2021-09-30 09:51;1;5;5;5;4;3;4;3;5;4;5;4;3;4;4;5;2;2;4;4;4;4;5;4;4;4;4;2;3;4;4;4;5;5;4;4;4;5;4;4;5;5;5;4;1;5;4;4;1;3;3;3;4;5;4;1;5;5;5;3;4;4;4;4;3;4;4;4;3;4;5;5;4;4;5;5;5;4;5;5;5;5;5;5;5;5;1;3;1;1;2;2;;;;;;;2;2;;;;;;;4;4;4;5;4;4;3;4
2021-10-07 09:45;1;4;5;4;4;4;4;4;4;3;4;3;1;2;1;3;1;1;4;4;4;4;4;3;4;4;2;2;2;4;3;4;4;4;2;4;4;5;4;5;6;5;5;4;1;5;3;3;1;2;2;2;4;4;3;1;2;2;2;1;2;4;4;5;4;5;6;5;5;6;4;6;5;5;;;;;;4;4;6;6;6;6;6;3;3;1;3;3;2;;;;;;;1;1;;;3;;;1;4;4;5;4;4;4;3;1
2021-09-16 13:17;1;2;3;3;2;3;4;5;4;3;4;3;3;2;3;4;2;1;3;2;4;3;3;3;3;4;3;3;4;4;3;4;4;4;2;3;3;3;3;3;6;3;3;3;1;4;4;4;1;3;3;3;3;3;3;1;3;3;2;3;3;3;3;4;4;4;4;4;4;3;4;3;4;4;;;;;;4;4;4;4;4;4;4;1;1;1;1;2;2;;;;;;;2;2;;;;;;;3;3;1;2;3;3;2;2
2021-09-23 10:03;1;5;4;3;3;2;2;2;4;2;5;3;2;2;2;2;1;2;1;3;4;5;5;5;5;5;3;3;2;3;1;5;2;2;2;2;2;5;2;4;6;3;4;3;1;5;2;2;2;;;;;;;2;4;4;1;1;1;3;4;3;6;6;6;6;6;6;3;6;6;6;;;;;;2;3;5;5;5;5;5;1;3;1;3;2;2;;;;;;;1;2;;;;;;;3;3;6;3;3;3;2;4
2021-10-04 12:03;2;5;5;4;5;5;5;5;5;3;5;5;3;5;4;5;3;3;4;5;5;4;5;5;5;2;5;5;5;4;4;5;4;5;4;4;4;5;5;5;5;5;3;3;1;5;4;3;1;3;3;4;3;4;4;1;3;4;4;1;4;4;4;5;5;5;5;5;5;6;5;6;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;4;4;5;5;5;5;4;2
2021-09-15 13:30;1;4;5;5;3;2;4;5;4;3;4;3;3;4;5;5;2;3;4;5;5;4;5;6;3;3;3;3;3;4;4;4;4;5;4;3;3;5;2;4;5;4;5;4;1;4;4;3;2;;;;;;;3;;;;;;3;5;2;3;5;4;3;2;6;3;5;4;4;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;2;2;;;;;;;4;4;4;4;3;4;3;1
2021-09-27 08:16;2;3;4;4;5;4;4;4;4;4;4;4;3;4;4;4;4;4;3;3;5;5;5;5;5;5;5;5;5;3;4;4;4;4;4;4;4;5;4;4;4;4;4;4;2;4;4;4;3;;;;;;;4;;;;;;3;3;4;4;4;4;4;4;4;4;4;4;4;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;5;5;5;5;3;4;4;1
2021-09-21 17:01;1;3;5;4;4;4;5;5;5;4;5;5;4;4;5;5;4;3;4;4;4;5;5;4;5;3;5;4;3;5;4;5;5;5;4;3;5;5;5;5;5;5;4;5;1;3;5;5;1;4;4;4;5;4;5;1;5;5;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;1;1;;;3;;;1;4;5;5;5;5;5;5;2
2021-09-21 09:23;2;5;2;2;2;2;3;3;5;3;5;2;3;6;6;6;2;2;5;3;4;4;3;4;3;4;3;4;3;3;2;5;2;3;1;2;4;5;6;4;6;5;5;3;1;5;2;3;4;;;;;;;1;3;5;3;3;3;6;5;4;4;6;4;6;3;4;5;5;4;4;;;;;;6;6;6;6;6;6;6;1;1;1;1;2;2;;;;;;;2;2;;;;;;;2;6;6;2;3;3;3;4
2021-10-07 09:35;1;5;4;4;2;4;4;3;5;5;5;3;2;2;3;3;1;1;4;4;4;4;5;6;4;5;2;2;2;4;3;4;3;4;3;5;5;5;4;5;5;5;4;5;1;4;3;4;1;4;3;2;1;5;4;1;5;5;5;5;5;5;5;5;6;6;4;5;6;6;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;1;2;;;;;;;5;5;5;5;3;5;2;4
2021-09-22 16:02;1;3;5;4;5;5;5;5;5;5;5;3;3;3;4;4;3;4;5;5;5;5;5;5;5;4;5;4;4;4;4;5;5;5;4;4;5;5;5;5;5;5;3;6;1;5;4;4;1;3;3;3;3;3;3;1;3;4;3;4;3;4;5;4;5;5;4;4;4;4;5;6;5;5;;;;;;3;3;6;6;6;6;6;1;3;3;3;1;1;;;3;;;1;1;2;;;;;;;4;4;4;5;5;5;4;3
2021-09-22 15:51;1;4;5;4;4;4;5;5;4;4;5;4;4;3;4;5;3;3;5;4;5;4;5;5;5;5;4;4;4;4;3;4;5;5;3;4;4;5;4;5;5;5;4;4;1;5;5;5;1;4;4;3;4;4;4;1;4;5;3;4;4;4;4;4;5;5;5;4;5;5;5;6;5;5;;;;;;5;5;5;5;5;5;5;3;3;1;3;1;2;;;;;;;1;1;;;3;;;1;5;5;5;4;4;4;4;2
2021-09-22 08:40;1;6;5;4;5;4;4;4;5;3;5;5;4;4;2;3;3;3;3;4;5;5;4;5;4;3;5;5;4;5;4;5;5;5;4;3;3;4;4;4;4;4;5;4;1;5;4;3;1;4;5;4;4;4;4;1;4;3;3;2;3;5;5;4;4;4;4;4;4;4;3;6;4;4;;;;;;5;5;5;5;5;5;5;1;1;1;1;1;2;;;;;;;1;2;;;;;;;4;4;3;5;4;4;4;4
2021-09-15 14:00;1;4;5;5;5;5;5;5;5;4;5;5;3;4;4;5;2;4;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;5;5;3;5;5;5;5;5;1;5;5;5;1;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;2
2021-09-30 10:52;1;5;4;3;2;3;4;3;4;3;4;3;3;3;4;3;1;1;4;3;5;4;5;4;4;3;3;1;1;4;2;3;2;3;3;4;3;4;4;4;3;4;4;4;1;4;3;3;1;3;3;3;3;3;3;1;3;3;3;3;3;5;5;4;4;3;3;3;4;6;3;6;4;4;;;;;;6;6;6;6;6;6;6;1;3;1;3;2;2;;;;;;;1;2;;;;;;;3;3;4;3;3;3;2;4
2021-10-07 17:25;1;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;1;5;5;5;5;5;5;1;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;2
2021-10-12 21:11;1;5;5;5;5;5;5;5;5;4;5;5;3;3;4;4;3;3;4;4;5;4;5;5;5;5;5;4;4;5;4;5;5;5;5;4;5;5;4;5;5;5;5;5;1;5;5;5;1;5;5;5;4;5;5;1;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;4
2021-09-17 06:59;1;5;2;4;2;4;4;2;4;3;2;3;2;2;1;3;1;1;2;2;4;4;5;4;4;4;2;2;2;2;2;4;3;4;2;4;3;4;4;4;4;4;3;4;1;5;4;4;1;3;3;2;4;3;3;1;4;4;2;1;3;4;4;4;4;4;4;4;3;3;4;4;3;4;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;2;2;;;;;;;3;3;2;2;2;3;3;4
2021-10-01 00:14;1;2;5;5;4;5;5;4;4;5;5;4;1;5;5;6;1;5;4;4;5;5;4;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;4;4;5;4;5;5;2;5;2;2;1;1;6;6;1;1;2;1;6;2;2;2;2;6;3;5;4;4;3;3;3;6;4;5;4;1;;;;;;5;5;3;3;3;5;5;1;3;1;1;3;2;;;;;;;2;2;;;;;;;2;1;1;2;3;2;1;5
2021-10-04 15:01;2;5;4;3;4;3;3;3;5;3;5;3;2;1;2;3;1;1;5;3;3;4;6;6;3;4;4;3;2;2;1;5;3;6;6;2;3;5;3;4;6;4;3;3;1;5;5;2;4;;;;;;;1;2;2;2;1;2;5;5;3;3;4;6;6;3;6;2;4;4;4;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;3;3;5;4;3;3;3;4
2021-10-12 09:09;1;6;4;4;4;3;3;4;5;5;5;5;2;3;5;5;1;2;5;2;5;4;4;4;4;3;3;3;3;4;2;5;5;4;4;5;4;5;5;5;5;4;5;4;1;5;3;3;1;4;3;3;5;3;3;3;;;;;;5;5;5;3;3;3;6;6;2;2;6;6;6;;;;;;6;6;5;5;5;6;6;3;3;3;3;2;2;;;;;;;3;3;;;;;;;4;4;5;5;3;3;4;4
