;age;sex;;t3;t1;t8;t2;t13;l1;;;k3;k1;k2;;k4;;;a1;;;;;;;;;;;;;;;;;;;;;;;;;;v2;v1;;;;;;t7;;;;y5
2020-08-26 14:33;4;2;5;5;5;4;5;5;3;3;3;5;5;5;5;5;5;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 14:31;4;1;2;4;3;4;2;3;3;3;2;2;2;4;2;3;2;2;4;;;;;;;;;;;;;;;3;3;3;3;1;1;;;;4;1;2;2;;;;;;3;2;3;4;4
2020-08-26 14:29;4;2;2;5;5;5;5;5;3;5;4;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;5;1
2020-08-26 14:42;2;1;4;5;5;5;5;5;3;5;5;4;4;5;5;4;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 14:38;4;2;3;4;5;4;4;5;5;5;5;4;5;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 14:39;4;1;3;5;5;5;5;4;5;5;5;5;4;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;5;1
2020-08-26 15:16;3;2;4;4;5;4;4;4;3;4;4;4;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;4
2020-08-26 14:41;1;2;2;4;4;4;5;3;4;5;5;4;4;3;4;4;4;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;5;4;4;1
2020-08-26 14:37;2;2;2;4;4;4;4;5;4;5;4;3;4;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;5;1;5;2
2020-08-26 14:37;4;2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 14:43;4;2;6;5;5;5;5;5;5;5;5;3;5;5;5;4;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;4
2020-08-26 14:44;5;2;2;5;5;5;4;5;5;5;5;3;4;4;3;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;6;5;3
2020-08-26 14:40;3;1;2;4;3;3;4;4;2;2;2;1;1;2;2;3;3;4;1;;2;3;;;6;;;;;;;;;3;3;1;3;2;2;;;;;;2;2;;;;;;3;2;2;3;2
2020-08-26 14:42;5;1;2;4;4;4;3;4;4;4;4;3;6;2;3;3;4;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;4;4;4;1
2020-08-26 14:39;4;2;6;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;4;4;4;1
2020-08-26 14:41;5;2;6;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;1;5;3
2020-08-26 14:41;4;2;3;5;5;5;5;5;5;5;5;3;3;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;4;1
2020-08-26 14:53;3;2;5;3;4;3;2;3;3;3;3;2;2;3;2;2;2;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;2;3;6;4;4
2020-08-26 14:54;5;2;6;4;5;4;4;5;4;5;4;4;4;4;4;3;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;4;1
2020-08-26 14:41;4;2;2;5;5;4;5;5;4;4;4;4;4;4;4;4;4;5;5;;;;;;;;;;;;;;;2;1;1;3;2;2;;;;;;2;2;;;;;;4;5;6;4;1
2020-08-26 14:44;3;2;2;4;4;4;4;5;4;4;5;4;4;4;4;4;4;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;4;4;1
2020-08-26 14:43;3;2;2;3;2;2;4;3;2;2;2;3;3;3;3;2;3;3;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;3;3;2;3;2
2020-08-26 14:44;4;2;5;4;4;4;5;4;4;5;5;4;4;4;3;4;4;4;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;4;4;4;1
2020-08-26 14:57;3;2;6;5;5;4;5;5;4;4;4;4;4;4;4;4;4;5;3;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;5;5;4;4;4
2020-08-26 15:13;2;2;4;4;5;4;5;4;5;5;5;5;5;5;5;5;5;5;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;4;1
2020-08-26 14:48;2;1;3;5;5;4;1;5;4;2;2;2;2;4;2;2;2;5;2;;2;3;;;;7;;;;;;;;2;2;2;2;1;1;;;;4;1;2;2;;;;;;3;3;2;3;2
2020-08-26 14:46;3;2;3;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;4;4;4;1
2020-08-26 14:50;4;2;6;4;5;4;4;5;3;4;4;5;5;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;5;1
2020-08-26 14:50;4;1;6;5;5;5;4;5;3;4;3;4;4;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;5;1
2020-08-26 14:52;4;2;4;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 14:59;2;2;2;4;4;3;2;5;3;5;6;3;4;5;6;4;2;4;2;;2;3;;5;;;;;;;;;;1;3;1;3;2;2;;;;;;2;2;;;;;;3;4;4;5;4
2020-08-26 14:55;5;2;5;5;4;5;3;5;4;4;4;3;4;4;3;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;4;4;4;4
2020-08-26 15:06;4;2;5;5;5;5;5;4;3;5;3;5;5;4;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;5;5;4;1
2020-08-26 14:58;4;2;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 15:03;2;2;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 14:57;4;1;2;4;4;4;4;4;4;4;3;5;4;4;4;4;5;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;4;4;4;1
2020-08-26 14:59;4;2;4;5;5;5;4;5;4;5;5;5;5;4;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;4;1
2020-08-26 15:02;5;2;4;4;5;4;4;5;2;3;2;3;4;5;2;4;4;4;4;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;2;2;;;;;;4;4;1;4;3
2020-08-26 15:03;4;2;6;5;5;5;5;4;5;5;4;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;3;1
2020-08-26 15:20;3;1;2;3;3;3;2;4;1;2;2;2;2;4;2;3;4;5;5;;;;;;;;;;;;;;;2;2;1;3;1;1;1;;;;1;2;2;;;;;;3;3;3;3;2
2020-08-26 15:25;1;1;2;4;5;5;5;4;4;5;5;4;3;4;4;3;4;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;5;5;5;1
2020-08-26 15:02;4;2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 15:02;5;1;2;5;5;5;4;5;4;4;4;6;4;4;4;4;3;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;6;5;4
2020-08-26 15:05;2;2;4;4;4;3;3;4;3;3;3;3;3;3;3;4;3;4;3;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;3;3;4;3;2
2020-08-26 15:03;3;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 15:03;2;2;3;5;5;2;5;5;5;4;3;1;2;5;2;3;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;3;4;5;5;2
2020-08-26 15:04;4;2;6;4;4;4;4;4;4;5;5;5;5;4;5;4;4;4;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;4;4;4;4
2020-08-26 15:05;2;1;2;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;6;6;4
2020-08-26 15:08;3;2;5;4;4;4;3;4;4;3;2;3;4;4;3;4;4;3;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;3;3;4;4
2020-08-26 15:14;4;1;5;2;3;2;1;2;1;1;1;3;1;3;1;1;3;2;2;;;3;4;5;;;;;;;;;;3;3;3;3;1;1;1;2;;;2;2;2;;;;;;2;2;1;2;2
2020-08-26 15:10;5;2;5;5;5;4;4;5;5;5;4;4;4;4;4;5;5;3;3;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;2;2;;;;;;5;5;5;4;1
2020-08-26 15:11;5;2;6;4;4;4;4;4;3;3;3;3;3;4;3;3;3;3;2;;2;3;;;;;;;;;;;;3;3;3;3;1;2;;;;;;2;2;;;;;;4;4;4;4;1
2020-08-26 15:12;4;2;4;4;5;4;4;5;3;3;3;4;4;5;4;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;4
2020-08-26 15:10;3;1;2;5;5;5;5;5;5;5;5;4;5;5;4;5;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;5;1
2020-08-26 15:14;3;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 15:15;3;1;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 15:16;4;2;6;4;4;4;3;5;4;4;3;3;3;2;4;5;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;4;3;1
2020-08-26 15:19;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 15:18;2;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;;;;;;;;;;;;;;;1;3;1;1;2;2;;;;;;2;2;;;;;;4;4;4;4;1
2020-08-26 15:26;3;2;2;3;4;3;2;3;2;5;5;2;2;3;2;2;2;3;3;;;;;;;;;;;;;;;2;2;1;2;1;2;;;;;;2;2;;;;;;3;3;2;3;4
2020-08-26 15:27;2;2;3;4;1;1;2;1;4;5;5;2;1;3;1;1;2;1;1;1;;;;5;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;3;3;3;3;2
2020-08-26 15:27;4;1;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 15:29;4;2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;3;1;1;3;2;2;;;;;;2;2;;;;;;5;5;6;5;4
2020-08-26 15:36;4;2;2;5;4;5;4;4;3;4;3;4;2;3;3;3;3;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;4;4;4;1
2020-08-26 15:29;4;2;6;4;4;4;4;4;6;6;6;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;4;6;4;4
2020-08-26 15:30;4;2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 15:35;5;2;6;4;4;4;3;5;3;4;4;4;3;4;3;3;3;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;4;6;4;2
2020-08-26 15:32;5;2;4;4;4;4;5;5;3;5;3;3;1;4;3;5;3;4;3;;;;;;;;;;;;;;;1;2;1;3;2;2;;;;;;2;2;;;;;;4;4;5;5;1
2020-08-26 15:34;5;2;6;4;4;3;3;4;3;4;4;3;4;3;3;3;3;4;3;;;;;;;;;;;;;;;3;3;1;3;2;2;;;;;;2;2;;;;;;3;3;4;3;1
2020-08-26 15:44;4;1;2;4;4;3;3;4;3;4;4;6;4;3;6;3;3;4;4;;;;;;;;;;;;;;;3;1;1;3;2;2;;;;;;2;2;;;;;;3;4;4;6;1
2020-08-26 15:37;4;2;6;5;5;5;3;5;3;3;3;4;4;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 15:41;3;2;4;5;5;5;5;5;4;4;5;4;5;4;4;3;4;3;3;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 15:46;4;2;4;5;5;4;5;5;1;3;1;4;4;4;3;4;5;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;4;6;4;4
2020-08-26 15:44;5;2;6;4;3;3;3;4;2;2;2;2;3;3;2;5;5;4;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;3;2;2;3;2
2020-08-26 15:40;7;4;2;5;5;5;4;5;3;3;3;4;4;5;4;3;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;4;6;4;4
2020-08-26 15:48;5;2;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;4;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;5;1
2020-08-26 15:55;3;1;2;2;4;3;2;4;2;2;2;2;2;3;3;1;1;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;2;1;6;4;2
2020-08-26 15:51;4;1;6;4;4;4;5;4;5;5;5;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;4;3;4;4
2020-08-26 15:56;3;2;5;4;4;4;4;4;2;3;2;2;3;3;2;3;3;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;3;3;3;4;2
2020-08-26 15:55;5;2;6;5;5;5;5;4;5;5;5;5;4;4;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;1;5;3
2020-08-26 15:53;2;2;3;5;5;5;5;5;6;6;6;5;5;5;5;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;5;1
2020-08-26 15:54;4;1;5;5;5;5;5;5;4;5;5;4;5;5;5;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 15:59;3;2;4;5;5;4;5;5;5;5;5;5;3;3;4;5;5;4;4;;;;;;;;;;;;;;;1;2;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 16:05;3;1;3;4;4;4;4;5;2;3;1;3;2;5;2;5;3;4;4;;;;;;;;;;;;;;;1;1;1;1;1;1;;;3;;2;2;2;;;;;;4;4;2;5;2
2020-08-26 15:58;3;1;3;5;5;5;5;5;5;5;5;4;4;4;4;5;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 16:01;6;2;6;4;4;3;5;5;4;4;3;2;2;4;2;5;4;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;1;5;3
2020-08-26 16:02;5;2;3;4;4;3;3;4;4;3;3;2;2;2;2;3;4;3;2;;;;4;5;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;3;3;1;2;3
2020-08-26 16:13;4;2;6;4;4;4;4;5;5;5;5;4;4;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;4;4;4;1
2020-08-26 16:10;2;2;2;4;3;3;4;4;1;1;1;3;3;4;1;2;2;5;4;;;;;;;;;;;;;;;2;2;1;2;1;2;;;;;;2;2;;;;;;3;3;4;3;2
2020-08-26 16:11;5;2;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;1;5;3
2020-08-26 16:18;5;2;5;5;5;5;4;4;5;5;4;5;5;4;4;5;5;5;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;5;5;5;1
2020-08-26 16:20;4;2;1;5;5;5;4;5;3;5;5;5;4;4;5;4;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 17:07;4;2;1;5;5;5;5;4;5;5;5;5;4;4;5;5;5;4;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 16:38;4;2;3;4;4;4;4;5;4;4;4;4;4;4;3;3;4;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;4;5;4;1
2020-08-26 16:30;5;2;6;4;5;4;5;4;4;5;5;4;4;4;5;5;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;4;1
2020-08-26 16:30;3;2;2;4;5;4;4;3;4;5;4;4;5;4;5;4;5;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;4;4;4;1
2020-08-26 16:36;5;2;6;4;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;1;5;3
2020-08-26 16:38;5;2;1;5;5;5;4;4;5;5;5;5;5;4;5;5;5;5;4;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;2;2;;;;;;5;5;6;5;4
2020-08-26 17:13;2;2;4;5;5;5;5;4;5;5;5;4;4;4;4;4;5;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;5;1
2020-08-26 17:49;3;2;5;3;4;3;3;3;6;6;6;4;3;3;4;3;2;4;4;;;;;;;;;;;;;;;2;2;1;3;2;2;;;;;;2;2;;;;;;2;4;5;4;1
2020-08-26 18:49;5;1;6;5;5;5;5;4;5;5;5;4;5;5;4;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 19:18;4;1;2;5;5;4;5;3;1;2;1;3;2;4;5;2;4;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;5;5;4;1
2020-08-26 19:21;4;2;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;6;4;4
2020-08-26 19:25;4;2;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 19:31;3;1;3;4;5;4;4;5;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;3;2;;;;;;2;2;;;;;;4;4;3;4;4
2020-08-26 20:02;4;2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;4
2020-08-26 22:15;4;2;3;4;3;3;2;4;1;3;2;3;2;3;2;4;3;4;2;1;;3;;5;;;;;;;;;;1;3;1;3;2;2;;;;;;2;2;;;;;;2;3;4;5;4
2020-08-26 22:42;4;2;6;4;5;4;5;4;6;6;6;6;6;3;6;5;5;3;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;3;1
2020-08-26 23:32;4;2;4;5;5;5;5;5;1;4;1;5;4;4;4;4;5;3;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;5;1
2020-08-27 05:06;2;2;5;5;5;5;5;5;5;5;5;4;5;3;4;4;4;3;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;4;4;4;1
2020-08-27 06:27;4;1;2;4;4;4;4;4;4;4;4;3;4;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;4;4;4;1
