;age;sex;t3;t1;t8;t2;t13;l1;;;t6;k3;k1;k2;;k4;;;a1;;;;;;;;;;;;;;;;;;;;;;;;;;;v2;v1;;;;;;;;;t7;t10;t9;t11;;;;y5
2022-08-23 09:07;3;2;4;4;3;4;3;4;4;4;4;2;3;2;2;3;2;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;3;3;4;4;4;4;4;1
2022-08-23 09:12;4;2;2;4;2;5;3;4;5;4;5;3;3;3;4;4;4;5;5;;;;;;;;;;;;;;;3;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;3;3;5;5;5;6;4;1
2022-08-23 09:09;5;1;5;5;4;4;4;4;4;4;4;4;3;4;4;4;5;5;4;;;;;;;;;;;;;;;1;1;1;3;3;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;5;3;3
2022-08-23 09:15;5;2;4;4;5;3;5;2;2;3;3;2;3;3;2;3;3;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;5;4;1
2022-08-23 09:16;3;2;4;5;5;4;4;5;5;5;2;3;4;4;4;5;5;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;5;5;5;5;5;5;1
2022-08-23 09:15;3;2;5;5;5;5;4;5;5;5;5;3;3;4;3;4;5;5;5;;;;;;;;;;;;;;;1;1;1;3;1;2;;;;;;;2;2;;;;;;;;1;4;4;3;5;5;6;5;2
2022-08-23 09:18;4;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;4;5;5;5;5;5;5;5;1
2022-08-23 09:24;2;2;3;1;1;1;1;1;1;1;2;1;1;3;1;1;1;3;2;;;;;;6;;;;;;;;;1;3;3;3;1;1;1;2;;;2;;2;2;;;;;;;;1;1;1;1;1;1;5;3;2
2022-08-23 09:24;4;2;4;5;4;5;5;4;5;5;3;4;4;3;3;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;4;4;1
2022-08-23 09:27;5;2;5;3;5;3;5;5;5;4;2;3;3;4;3;3;2;5;3;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;3;3;3;4;4;1;4;3
2022-08-23 09:27;2;2;5;5;5;4;5;5;5;5;4;4;4;4;4;4;5;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;3;5;5;5;5;5;5;4;1
2022-08-23 09:28;5;2;4;3;4;4;5;2;2;2;4;4;3;3;3;3;3;5;3;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;3;3;2;2;2;1;4;3
2022-08-23 09:29;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;5;5;5;5;6;5;4
2022-08-23 09:31;2;2;4;5;4;3;4;5;5;5;5;5;4;4;4;5;5;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;4;4;1
2022-08-23 09:31;3;2;4;4;3;4;5;5;5;5;5;4;3;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;1;2;;;;;;;1;2;;;;;;;;2;4;4;5;5;5;3;4;1
2022-08-23 09:38;2;2;5;4;4;4;4;5;5;5;4;4;5;4;4;4;5;5;5;;;;;;;;;;;;;;;1;3;1;1;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;5;5;5;5;1
2022-08-23 09:30;4;1;4;4;4;5;5;5;5;5;4;4;6;6;6;5;4;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;5;4;5;1
2022-08-23 09:32;3;2;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;4;5;5;5;4;4;1
2022-08-23 09:34;2;1;4;3;3;2;4;1;4;3;1;2;1;4;1;2;2;5;4;;;;;;;;;;;;;;;1;2;1;3;1;3;;;;;;;2;2;;;;;;;;1;3;2;3;4;4;4;4;2
2022-08-23 09:35;4;1;4;4;4;4;4;4;4;4;3;4;3;3;4;4;4;4;3;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;3;4;4;4;2;3;2
2022-08-23 09:49;4;2;4;4;4;4;4;3;5;3;3;4;3;4;2;2;3;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;4;4;4;4;4;4;4;3;1
2022-08-23 09:35;3;2;5;5;5;5;5;5;5;5;5;4;5;3;5;4;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-23 09:44;3;2;5;5;5;5;5;5;5;4;3;4;4;3;4;4;4;3;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;3;5;5;5;5;5;5;4;1
2022-08-23 09:40;4;2;4;5;3;3;5;5;5;5;4;4;4;3;4;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;3;4;4;4;4;4;6;5;4
2022-08-23 09:42;5;2;3;4;4;3;4;4;4;3;3;3;3;2;3;2;3;4;4;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;3;3;3;3;4;1;3;3
2022-08-23 09:57;4;2;5;5;4;4;4;4;4;4;4;3;3;4;2;3;3;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;3;4;1
2022-08-23 09:47;4;1;4;5;5;4;4;4;4;4;4;5;4;5;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-23 09:47;3;2;4;4;4;4;5;3;3;3;3;5;5;5;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;3;4;4;4;4;4;4;4;4
2022-08-23 09:45;3;2;3;3;3;4;3;4;4;4;3;3;3;3;3;3;3;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;4;3;3;4;3;3;3;4
2022-08-23 09:47;4;1;5;5;5;5;4;4;4;4;3;5;4;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;3;4;4;4;5;5;5;5;1
2022-08-23 09:49;4;2;5;5;5;4;5;5;5;5;4;4;4;4;4;5;5;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;5;5;5;1
2022-08-23 09:50;3;2;4;4;4;4;4;3;4;4;4;3;4;4;4;4;3;4;4;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;4;4;3;4;4;4;3;3;1
2022-08-23 11:29;3;1;4;4;4;4;5;3;3;3;3;3;4;4;4;3;3;4;4;;;;;;;;;;;;;;;1;1;1;1;1;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;4;4;1
2022-08-23 09:49;2;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;4;4;1
2022-08-23 09:51;4;1;4;4;4;3;4;4;4;6;4;4;4;2;3;4;4;4;3;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;3;4;4;1
2022-08-23 09:54;3;1;5;5;5;4;4;5;5;5;5;5;5;5;4;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;5;5;5;5;5;5;1
2022-08-23 09:54;1;1;3;5;4;4;4;4;5;5;5;5;4;5;3;3;4;5;5;;;;;;;;;;;;;;;3;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;5;5;5;3;4;4
2022-08-23 09:54;5;1;4;5;4;3;5;5;5;5;3;5;5;5;4;4;4;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;4;4;5;5;5;5;5;1
2022-08-23 12:45;3;1;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-23 09:58;2;2;3;5;2;2;3;2;2;2;2;5;4;4;4;3;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;2;3;5;5;4;3;5;1
2022-08-23 10:06;5;2;4;4;4;4;5;4;5;4;4;4;3;4;3;4;4;4;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;4;3;3;4;4;4;1
2022-08-23 10:21;3;2;5;5;4;4;4;5;6;6;6;4;4;4;3;4;4;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;4;4;4;4;3;4;4;4;1
2022-08-23 10:29;4;2;4;5;4;5;5;4;4;4;4;4;4;5;3;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;4;5;5;5;5;4;1
2022-08-23 10:28;4;2;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;5;5;4;4;1
2022-08-23 10:36;4;2;5;3;3;4;5;3;3;3;2;3;2;4;1;1;3;4;3;;;;;;;;;;;;;;;2;2;1;2;1;2;;;;;;;2;2;;;;;;;;3;4;3;3;3;6;6;6;4
2022-08-23 10:31;2;2;4;5;4;5;5;4;5;5;6;5;4;5;5;5;5;5;3;;;;;;;;;;;;;;;3;3;1;3;2;2;;;;;;;2;2;;;;;;;;3;4;4;5;4;5;5;6;1
2022-08-23 10:37;2;2;3;4;3;3;4;4;5;5;4;4;4;5;4;3;3;4;4;;;;;;;;;;;;;;;1;3;1;3;1;1;;2;;;1;1;2;2;;;;;;;;1;3;3;4;4;4;4;4;1
2022-08-23 10:42;5;2;5;5;5;4;4;5;5;4;5;5;5;5;4;4;4;3;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;3;4;4;4;4;5;3;5;3
2022-08-23 10:44;5;2;4;3;3;3;3;2;2;2;2;3;3;4;3;3;3;3;3;;;;;;;;;;;;;;;1;1;3;3;3;2;;;;;;;2;2;;;;;;;;2;3;3;3;3;3;5;4;2
2022-08-23 10:45;3;2;5;5;5;5;4;5;5;5;5;4;4;5;5;5;5;3;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;5;5;5;5;5;5;1
2022-08-23 11:02;3;2;4;4;4;4;4;3;4;4;2;4;3;4;3;2;4;4;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;5;4;5;1
2022-08-23 11:38;3;2;4;4;4;4;4;3;4;4;4;5;4;4;4;3;4;5;4;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;3;4;4;4;4;3;4
2022-08-23 11:36;2;2;5;5;5;5;4;4;5;5;3;4;5;3;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;5;5;5;3;4
2022-08-23 11:45;4;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;5;5;5;5;5;5;1
2022-08-23 12:22;3;2;5;5;5;5;3;1;3;3;4;4;2;4;5;4;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;3;3;4;4;5;5;5;1
2022-08-23 13:12;5;2;5;5;5;6;5;5;5;5;5;6;5;5;6;5;5;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;4;5;5;5;5;6;6;6;1
2022-08-23 13:16;4;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;1;2;;;;;;;2;2;;;;;;;;3;5;5;5;5;5;5;5;1
2022-08-23 13:51;2;2;5;5;5;4;5;3;4;5;2;5;4;4;4;4;5;5;5;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;5;5;5;1
2022-08-23 13:32;4;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-23 13:59;1;2;4;5;4;5;4;4;5;4;2;5;4;4;4;3;5;4;5;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;3;4;5;5;5;5;3;1
2022-08-23 13:32;3;2;5;5;5;5;5;5;5;5;3;5;5;3;4;2;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;4;5;5;5;5;3;5;1
2022-08-23 13:33;5;2;5;5;5;4;5;4;5;5;4;5;4;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-23 13:33;3;2;5;5;5;5;4;4;4;4;5;5;5;3;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;4;5;5;5;5;1
2022-08-23 13:33;3;2;5;5;5;5;5;5;5;5;5;4;3;3;3;3;4;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-23 13:32;4;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-23 13:34;2;2;5;3;3;4;4;3;3;3;4;3;3;4;3;3;3;4;3;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;3;3;3;4;4;4;4;1
2022-08-23 13:54;2;1;4;5;4;3;4;3;4;3;4;5;4;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;5;5;5;6;4;4
2022-08-23 13:39;5;2;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;2;;;;;5;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;1;3;3
2022-08-23 13:33;6;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;3
2022-08-23 13:33;4;2;4;4;4;4;4;3;4;3;3;3;3;4;3;4;4;4;4;;;;;;;;;;;;;;;3;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;4;4;1
2022-08-23 13:40;3;2;4;5;3;4;5;3;4;3;3;5;3;3;3;4;4;5;5;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;3;4;4;5;5;4;1
2022-08-23 13:36;4;2;5;3;3;4;5;3;3;3;3;3;3;4;3;3;3;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;3;3;3;3;3;5;4;1
2022-08-23 13:33;2;1;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-23 13:35;5;2;3;4;4;3;4;2;2;1;1;3;3;4;3;2;1;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;2;2;3;2;2;1;1;2
2022-08-23 13:37;4;2;4;4;4;2;5;4;4;4;3;3;2;4;2;1;3;4;2;;;3;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;3;3;3;2;6;4;4
2022-08-23 13:38;3;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;6;5;4
2022-08-23 14:56;3;2;4;4;4;4;4;4;4;5;3;4;4;3;4;4;5;5;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;5;4;5;5;5;5;4;1
2022-08-23 13:35;3;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-23 13:37;4;1;4;4;4;4;5;4;5;5;6;5;4;3;6;4;5;4;1;;;;;;;7;;;;;;;;1;3;1;3;1;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;4;4;1
2022-08-23 13:45;2;2;4;5;3;5;4;4;5;5;3;3;4;4;4;3;4;5;2;1;;;;;6;7;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;5;5;4;5;4;1
2022-08-23 13:36;2;2;4;5;4;4;5;4;5;4;2;4;5;5;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;1;2;;;;;;;2;2;;;;;;;;2;5;5;5;5;5;5;5;1
2022-08-23 13:38;3;2;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-23 13:41;5;2;4;5;5;5;5;4;5;4;4;5;5;4;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;5;5;5;5;6;5;3
2022-08-23 13:38;2;2;5;5;4;4;5;3;4;4;4;4;3;3;3;4;4;4;3;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;5;5;5;4;4;1
2022-08-23 13:40;5;2;3;4;2;3;4;3;3;3;2;3;3;4;2;3;4;3;3;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;3;3;4;4;3;6;6;3
2022-08-23 13:40;2;2;5;5;5;5;4;5;5;5;2;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;5;5;5;5;3;5;1
2022-08-23 13:40;2;2;5;5;5;5;5;5;5;4;5;5;4;4;4;4;4;5;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;4;4;4
2022-08-23 13:43;5;2;5;5;4;3;5;3;4;4;2;5;4;4;4;4;4;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;5;5;4;1
2022-08-23 13:44;3;2;3;5;3;4;5;3;5;5;2;4;2;4;2;4;3;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;3;3;4;4;5;3;5;4
2022-08-23 13:42;2;2;5;5;5;5;5;4;5;4;3;5;5;5;5;5;5;5;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;4;5;5;5;5;5;5;1
2022-08-23 13:41;2;2;5;5;4;3;4;2;3;2;3;5;3;5;4;3;2;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;3;4;5;5;6;4;4
2022-08-23 13:41;4;1;4;4;3;3;4;5;5;5;3;3;3;4;3;3;3;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;3;3;3;3;6;3;4
2022-08-23 13:44;2;1;5;4;5;4;4;1;1;1;4;5;4;3;4;4;5;5;4;;;;;;;;;;;;;;;2;3;2;2;1;1;1;;;;1;2;2;2;;;;;;;;2;4;4;4;5;5;5;5;1
2022-08-23 13:42;2;2;3;5;3;4;4;4;4;4;4;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;4;4;5;5;5;5;5;2
2022-08-23 13:56;2;2;4;5;4;3;4;4;4;4;2;4;3;3;3;3;3;4;4;;;;;;;;;;;;;;;2;2;1;1;2;2;;;;;;;2;2;;;;;;;;1;4;4;5;4;4;6;3;4
2022-08-23 13:47;4;2;4;4;3;3;4;3;4;4;3;3;3;3;3;3;4;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;3;3;3;3;3;4;4;4
